,movie_name,movie_duration,movie_genre,movie_director,movie_release_year
77,Trái Tim Dũng Cảm,178.0,Biography,Mel Gibson,1995.0
78,Avengers: Hồi Kết,181.0,Action,Anthony Russo,2019.0
79,Joker,122.0,Crime,Todd Phillips,2019.0
80,Công Chúa Mononoke,134.0,Animation,Hayao Miyazaki,1997.0
81,Chàng Will Tốt Bụng,126.0,Drama,Gus Van Sant,1997.0
82,Tên Cậu Là Gì?,106.0,Animation,Makoto Shinkai,2016.0
83,Nước Mỹ Một Thời,229.0,Crime,Sergio Leone,1984.0
84,Tengoku to jigoku,143.0,Crime,Akira Kurosawa,1963.0
85,3 Chàng Ngốc,170.0,Comedy,Rajkumar Hirani,2009.0
86,Hát Dưới Mưa,103.0,Comedy,Stanley Donen,1952.0
87,Capharnaüm,126.0,Drama,Nadine Labaki,2018.0
88,Nguyện Cầu Cho Một Giấc Mơ,102.0,Drama,Darren Aronofsky,2000.0
89,Đến Mà Xem,142.0,Drama,Elem Klimov,1985.0
90,Câu Chuyện Đồ Chơi 3,103.0,Animation,Lee Unkrich,2010.0
91,Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,131.0,Action,Richard Marquand,1983.0
92,Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,108.0,Drama,Michel Gondry,2004.0
93,2001: Chuyến Du Hành Không Gian,149.0,Adventure,Stanley Kubrick,1968.0
94,Cuộc Săn Lùng,115.0,Drama,Thomas Vinterberg,2012.0
95,Những Kẻ Phản Bội,99.0,Crime,Quentin Tarantino,1992.0
96,Ikiru,143.0,Drama,Akira Kurosawa,1952.0
97,Lawrence Xứ Ả Rập,218.0,Adventure,David Lean,1962.0
98,Căn Hộ Tình Yêu,125.0,Comedy,Billy Wilder,1960.0
99,Công Dân Kane,119.0,Drama,Orson Welles,1941.0
100,M - Eine Stadt sucht einen Mörder,117.0,Crime,Fritz Lang,1931.0
101,Bắc Tây Bắc,136.0,Action,Alfred Hitchcock,1959.0
102,Quay Cuồng,128.0,Mystery,Alfred Hitchcock,1958.0
103,Double Indemnity,107.0,Crime,Billy Wilder,1944.0
104,Le fabuleux destin d'Amélie Poulain,122.0,Comedy,Jean-Pierre Jeunet,2001.0
105,Ông Trùm Mặt Sẹo,170.0,Crime,Brian De Palma,1983.0
106,Áo Giắp Sắt,116.0,Drama,Stanley Kubrick,1987.0
107,Tìm Tung Tích Mẹ,131.0,Drama,Denis Villeneuve,2010.0
108,Cỗ Máy Tội Phạm,136.0,Crime,Stanley Kubrick,1971.0
109,Kỳ Phùng Địch Thủ,170.0,Action,Michael Mann,1995.0
110,Vút Bay,96.0,Animation,Pete Docter,2009.0
111,Giết Con Chim Nhại,129.0,Crime,Robert Mulligan,1962.0
112,The Sting,129.0,Comedy,George Roy Hill,1973.0
113,Anh Hùng Hamilton,160.0,Biography,Thomas Kail,2020.0
114,Cuộc Chia Ly,123.0,Drama,Asghar Farhadi,2011.0
115,Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,127.0,Action,Steven Spielberg,1989.0
116,Thành Phố Trung Tâm,153.0,Drama,Fritz Lang,1927.0
117,Đương Đầu Với Thử Thách,132.0,Action,John McTiernan,1988.0
118,Cậu Bé Đặc Biệt,162.0,Drama,Aamir Khan,2007.0
119,Tên Trộm Nữ Trang,104.0,Comedy,Guy Ritchie,2000.0
120,Kẻ Cắp Xe Đạp,89.0,Drama,Vittorio De Sica,1948.0
121,Bí Mật Los Angeles,138.0,Crime,Curtis Hanson,1997.0
122,Thế Chiến 1917,119.0,Action,Sam Mendes,2019.0
123,Tài Xế Taxi,114.0,Crime,Martin Scorsese,1976.0
124,Ngày Tàn Của Hitler,156.0,Biography,Oliver Hirschbiegel,2004.0
125,Dangal,161.0,Action,Nitesh Tiwari,2016.0
126,Thêm Vài Đồng Xu Lẻ,132.0,Drama,Sergio Leone,1965.0
127,Người Dơi Xuất Hiện,140.0,Action,Christopher Nolan,2005.0
128,Phi Công Siêu Đẳng Maverick,130.0,Action,Joseph Kosinski,2022.0
129,Some Like It Hot,121.0,Comedy,Billy Wilder,1959.0
130,Đứa Trẻ,68.0,Comedy,Charles Chaplin,1921.0
131,Sói Già Phố Wall,180.0,Biography,Martin Scorsese,2013.0
132,The Father,97.0,Drama,Florian Zeller,2020.0
133,Cẩm Nang Xanh,130.0,Biography,Peter Farrelly,2018.0
134,All About Eve,138.0,Drama,Joseph L. Mankiewicz,1950.0
135,Tòa Án Chiến Tranh,179.0,Drama,Stanley Kramer,1961.0
136,Buổi Diễn Của Truman,103.0,Comedy,Peter Weir,1998.0
